약용식물번호,식물분류명,약용식물종명,식물과명,식물종학명,삭물생태설명,약용식물분포설명,약용식물약재명,이용방법설명,약용식물효과설명,약용식물복용방법설명
189,피자식물/쌍자엽식물,자귀나무,콩과(Leguminosae),Albizia julibrissin Durazz.,산이나 마을 근처에 자라는 낙엽소교목으로 높이 3∼5m이고 잔가지는 털이 없으며 능선이 있다. 잎은 어긋나기하고 짝수 2회 우상복엽이며 소엽은 낫 같고 원줄기를 향해 굽으며 양면에 털이 있거나 없다. 꽃은 양성화로 6∼7월에 핀다. 열매는 꼬투리열매로 9∼10월에 익으며 편평한 꼬투리에 5∼6개의 종자가 들어있다. ☞ 왕자귀나무보다 소엽이 소형이다.,"한국(경기이남), 중국, 일본, 대만, 동남아시아",합환피(合歡皮),나무껍질을 여름과 가을에 채취하여 햇볕에 말린다.,"강장보호, 건망증, 골절, 골절증, 관절염, 구충, 가슴막염, 살충, 안신해울, 안오장, 옹종, 요슬산통, 이기개위, 이뇨, 인후통증, 림프절염, 종기, 진정, 진통, 창종, 충독, 타박상, 폐결핵, 해수, 활혈소종, 흥분제",(내복): 탕전(湯煎)하거나 가루약으로 복용한다. (외용): 가늘개 갈아서 개어 붙인다.
190,피자식물/쌍자엽식물,땅콩,콩과(Leguminosae),Arachis hypogaea L.,재배하는 일년초로서 높이가 60㎝에 달하고 원줄기는 밑부분에서 갈라져 옆으로 비스듬히 자란다. 잎은 어긋나기하고 짝수 1회 우상복엽이며 소엽은 4개이고 난형 또는 도란형으로서 예저이다. 꽃은 황색으로 7∼9월에 잎겨드랑이에서 1개씩 달린다. 꼬투리는 장타원형이며 그물 같은 맥이 있다.,"한국(전국), 남아메리카",낙화생(落花生),종자를 과일 성숙기에 채취하여 햇볕에 말린다.,"각기, 감기, 강장, 강장보호, 거담, 건위, 고혈압, 기관지염, 담, 만성간염, 만성피로, 반위, 암, 위궤양, 유즙결핍, 윤폐, 조해, 치매증, 피부노화방지, 화위, 황달",(내복): 탕전(湯煎)하거나 중탕하여 복용한다.
238,피자식물/쌍자엽식물,광대싸리,대극과(Euphorbiaceae),Securinega suffruticosa (Pall.) Rehder,산기슭에 자라는 낙엽관목으로 높이가 10m에 달하는 것도 있으며 가지는 갈색이다. 잎은 호생하며 막질이고 둔 두 원저이고 표면은 녹색이고 뒷면은 흰빛이 돈다. 꽃은 연한 황색으로 잎겨드랑이에 달린다. 열매는 삭과로 편구형이며 3줄의 홈이 있고 6개의 종자가 나온다. ☞ 여우 구슬 속에 비해 수꽃에 퇴화 자방이 있다.,"한국(전국), 중국, 대만, 러시아, 몽고, 히말라야",일엽추(一葉萩),가지와 잎을 봄부터 가을에 채취하여 햇볕에 말린다.,"강근 골, 강장 보호, 건 비익신, 건 비위, 반신불수, 사지 마비, 요통, 음위, 조루증, 허약체질, 활혈, 활혈서근",(내복): 탕전(湯煎)하여 복용한다.
239,피자식물/쌍자엽식물,회양목,회양목과(Buxaceae),Buxus koreana Nakai ex Chung & al.,석회암 지대에 자라는 상록관목으로 높이가 7m에 달하고 잔가지는 녹색이고 네모가 진다. 잎은 굳으며 타원형이고 둔 두 또는 미요두이고 예저이며 가장자리가 뒤로 젖혀진다. 꽃은 황백색으로 4∼5월 가지 끝과 잎겨드랑이에 달린다. 열매는 삭과로 난형이고 6∼7월에 갈색으로 익는다. ☞ 좀회양목에 비해 소지와 잎자루에 털이 있다.,"한국(전국), 중국, 일본",황양목(黃楊木),가지와 잎을 연중 채취하여 햇볕에 말린다.,"거풍습, 근골동통, 목적 동통, 산풍, 이기, 적백리, 제습, 지통, 치통, 타박상, 통풍, 풍습두통, 해수",(내복): 탕전(湯煎)하여 복용한다.
240,피자식물/쌍자엽식물,수호초,회양목과(Buxaceae),Pachysandra terminalis Siebold & Zucc.,재배하거나 산의 나무 그늘에 자라는 다년초로 원줄기가 옆으로 긴다. 잎은 호생하고 층으로 모여 달리며 짙은 녹색이며 윤채가 있고 표면 맥 위에 잔털이 있다. 꽃은 1가 화로서 4∼5월에 줄기 끝에 달린다. 열매는 핵과로 난형이고 겉에 털이 없다. ☞,"한국(중남부), 일본",수호초(秀好草),전초를 연중 채취하여 햇볕에 말리거나 생식한다.,"거풍제습, 월경 부조, 조 경활 혈, 풍습 근골 통",(내복): 탕전(湯煎)하거나 즙을 내어 복용한다.
241,피자식물/쌍자엽식물,붉나무,옻나무과(Anacardiaceae),Rhus javanica L.,산야에 자라는 낙엽소교목으로 높이 5∼8m이며 잔가지는 황색이다. 잎은 호생하고 난형 또는 도란 형이며 원두 또는 요두이고 가장자리가 밋밋하다. 꽃은 황백색으로 8∼9월에 원추화서로 달린다. 열매는 핵과로 신장형이며 10월에 익는다. ☞ 옻나무에 비해 엽축에 날개가 있고 소엽에 톱니가 있다.,"한국(전국), 중국, 일본, 러시아, 대만, 히말라야, 태국, 버마",오배자(五倍子),오배자 진딧물의 자상에 의하여 생긴 벌레집을 이용한다.,"고환염, 구내염, 산어지혈, 수렴, 설사, 악창, 옹종, 유정증, 음 낭습, 인후 통증, 종독, 지혈, 창개, 청열해독, 출혈, 충혈, 치통, 탈항, 풍, 하리, 해독, 해수, 혈뇨, 황달",(내복): 탕전(湯煎)하거나 산제로 하여 복용한다. (외용): 가루 내어 개어 붙인다.
242,피자식물/쌍자엽식물,개옻나무,옻나무과(Anacardiaceae),Rhus tricocarpa Miq.,산야에 자라는 낙엽소교목으로 높이가 7m에 달하고 잔가지와 엽축에 붉은빛이 돈다. 잎은 호생하며 홀수 1회 우상복엽이고 난형 또는 장타원형이며 점 첨두 원저이다. 꽃은 황록색이며 잎겨드랑이에 원추화서로 달린다. 열매는 편구형이며 황갈색으로 익는다. ☞ 옻나무에 비해 소지와 엽축이 적갈색이다.,"한국(전국), 중국, 일본, 러시아, 대만, 히말라야, 태국, 버마",건칠(乾漆),수지를 연중 채취하여 가공한 건조물(乾燥物)을 이용한다.,"건 위, 경혈, 관절염, 구충, 옹종, 지혈",(내복): 환제나 산제로 복용한다. ☞ 민감한 사람은 소량에도 칠성피부염을 일으킨다.
243,피자식물/쌍자엽식물,옻나무,옻나무과(Anacardiaceae),Rhus verniciflua Stokes,산야에 자라는 낙엽소교목으로 높이가 7m에 달하고 잔가지와 업축이 붉은빛이 돈다. 잎은 호생하며 홀수 1회 우상복엽이고 난형 또는 장타원형이며 점 첨두 원저이다. 꽃은 황록색으로 6월에 잎겨드랑이에 원추화서로 달린다. 열매는 편구형이며 연한 황색이고 윤채가 있다. ☞ 개옻나무에 비해 교목성으로 소지와 엽축에 붉은빛이 돈다.,"한국(전국), 중국, 인도",건칠(乾漆),수지를 연중 채취하여 가공한 건조물(乾燥物)을 이용한다.,"강장 보호, 건 위, 견비통, 과실중독, 관절염, 구충, 근골동통, 당뇨, 방부, 생담, 소염, 안오장, 어깨결림, 어혈, 염증, 오십견, 요통, 위장염, 자궁근종, 전립선암, 정혈, 주독, 지혈, 직장암, 진해, 탄산 토산, 통경, 통리수도, 풍한, 피부암, 학질, 해독, 해수, 해열",(내복): 환제나 산제로 복용한다. ☞ 민감한 사람은 소량에도 칠성피부염을 일으킨다.
244,피자식물/쌍자엽식물,호랑가시나무,감탕나무과(Aquifoliaceae),lex cornuta Lindl. & Paxton,산기슭 양지에 자라는 상록관목으로 높이 2∼3m에 달하고 가지가 무성하며 털이 없다. 잎은 호생하고 곧으며 윤채가 있고 타원상 6각형이며 각 점에 가시가 있고 양면에 털이 없다. 꽃은 백색으로 4∼5월에 잎겨드랑이에 산형화서로 달린다. 열매는 핵과로 둥글며 종자는 4개씩 들어 있으며 난형이다. ☞ 잎은 타원상 6각형으로 각 점은 가시로 된다.,"한국(남부), 중국",구골엽(枸骨葉),잎을 가을에 채취하여 햇볕에 말린다.,"강장 보호, 거풍습, 관절염, 두통, 보간신, 양 기혈, 요 슬 산통, 익정, 제습, 청풍 열, 타박상, 폐결핵, 풍, 풍비, 해수, 활혈",(내복): 탕전(湯煎)하거나 술에 담가 복용한다.
245,피자식물/쌍자엽식물,노박덩굴,노박덩굴과(Celastraceae),Celastrus orbiculatus Thunb.,숲에 자라는 낙엽덩굴식물로 길이 2∼3m이고 가지는 갈색 또는 회갈색이고 털이 없다. 잎은 타원형이며 끝이 갑자기 뾰족해지고 가장자리에 톱니가 있다. 꽃은 황록색으로 5∼6월 잎겨드랑이에 취산화서로 달린다. 열매는 구형이고 종자는 황적색 종의로 싸여있다. ☞ 푼지나무에 비해 기근이 없고 가지와 화서에 털이 없다.,"한국(전국), 중국, 일본, 러시아",남사등(南蛇藤),등 경(藤莖)을 가을부터 겨울에 채취하여 햇볕에 말린다.,"강 근골, 거풍습, 근골동통, 복통, 사지 마비, 소아경기, 제습, 치통, 치핵, 타박상, 해독, 현훈, 활혈, 활혈맥",(내복): 탕전(湯煎)하여 복용한다.
267,피자식물/쌍자엽식물,닥풀,아욱과(Malvaceae),Hibiscus manihot L.,한지 제지용으로 재배하는 일년초로 높이가 1∼1.5m이고 가지가 없다. 잎은 호생하며 잎자루가 길고 열 편은 피침형 또는 도피침형이고 윗부분에 톱니가 있다. 꽃은 연한 황색으로 8∼9월에 원줄기 끝에 총상으로 달린다. 열매는 삭과로 장타원형이며 5개의 둔한 능선과 털이 있다.,"한국(전국), 중국",황촉규근(黃蜀葵根),뿌리를 가을에 채취하여 햇볕에 말린다.,"경혈, 기관지염, 볼거리염, 사태, 산어, 소종, 악창, 안태, 옹종, 외음부부종, 요도염, 유즙 결핍, 음부부종, 이수, 이하선염, 임질, 종기, 진통, 치질출혈, 타박상, 통리수도, 통림, 해독, 화상",(내복): 탕전(湯煎)하거나 환제 또는 산제로 복용한다. (외용): 짓찧어 상처 부위에 사용한다.
268,피자식물/쌍자엽식물,부용,아욱과(Malvaceae),Hibiscus mutabilis L.,재배하는 낙엽 반관목으로 높이 1∼3m이고 가지에 성모가 있다. 잎은 호생하고 둥글며 심장 저이고 끝이 뾰족하며 둔한 톱니가 있고 뒷면에 백색 성모가 밀생한다. 꽃은 연한 홍색으로 8∼9월에 잎겨드랑이에 1개씩 핀다. 열매는 삭과로 둥글고 털과 맥이 있다.,"한국(전국), 중국",목부용화(木芙蓉花),꽃을 9∼10월 개화기에 맑은 날을 택하여 햇볕에 말린다.,"강화, 관절염, 늑막염, 소 종지 통, 아통, 양혈해독, 옹종, 완화, 점활, 종독, 치통, 해독, 해수, 해열, 화상, 활혈",(내복): 탕전(湯煎)하여 복용한다. (외용): 짓찧어 상처 부위에 붙인다.
269,피자식물/쌍자엽식물,무궁화,아욱과(Malvaceae),Hibiscus syriacus L.,식재하는 낙엽관목으로 높이가 3m에 달하고 어린 가지에 털이 많다. 잎은 호생하고 난형이며 첨두이고 넓은 예저 또는 원저이며 가장자리에 둔하거나 예리한 톱니가 있다. 꽃은 분홍색으로 8∼9월에 1개씩 달리고 꽃자루가 있다. 열매는 삭과로 장타원형으로서 둔두이며 5실이다.,"한국(전국), 중국",목근피(木槿皮),뿌리껍질을 4∼5월 채취하여 햇볕에 말린다.,"건 비위, 경혈, 구갈증, 구토, 기관지염, 대하증, 살충, 소종, 양혈, 원형탈모증, 위장염, 이뇨, 이혈, 인두염, 인후 통증, 임질, 장염, 장위카타르, 장 출혈, 적백리, 점활, 정혈, 지사, 지혈, 청혈, 축농증, 치열, 치핵, 탈항, 폐기천식, 피부병, 피부염, 하리, 해독, 해열, 후두염 등",(내복): 탕전(湯煎)하거나 가루 내어 복용한다. (외용): 짓찧어 상처 부위에 붙이거나 물로 달여서 상처 부위를 씻어 낸다.
270,피자식물/쌍자엽식물,수박풀,아욱과(Malvaceae),Hibiscus trionum L.,관상용으로 심으나 야생화로 되었으며 높이가 30∼60㎝이고 흰 털이 있다. 잎은 호생하고 3∼5개로 깊이 갈라지며 중앙 열 편이 가장 크고 가장자리에 톱니가 있다. 꽃은 연한 황색으로 7∼8월에 잎겨드랑이에서 자란 소화경 끝에 1개씩 달린다. 열매는 삭과로 꽃받침 속에 들어 있다. ☞ 닥풀에 비해 위쪽의 잎은 3 전열 하고 다시 우상의 결각이 있다.,"한국(전국), 중부 아프리카",야서과묘(野西瓜苗),전초를 채취하여 말린다.,"열사병, 일사병, 해수, 해열",(내복): 탕전(湯煎)하여 복용한다.
271,피자식물/쌍자엽식물,아욱,아욱과(Malvaceae),Malva verticillata L.,재배하는 일년초로 높이 60∼90㎝이다. 잎은 호생하고 잎자루가 길며 5∼7개의 주맥이 있고 끝이 둔하고 가장자리에 톱니가 있다. 꽃은 연한 분홍색으로 봄부터 가을까지 잎겨드랑이에 모여 달린다. 열매는 삭과로 꽃받침으로 싸여 있다. ☞ 닥풀에 비해 위쪽의 잎은 3 전열 하고 다시 우상의 결각이 있다,"한국(전국), 중국",동규자(冬葵子),봄에 종자가 성숙할 때 채취하여 말린다.,"강화, 구토, 난산, 변비, 소갈, 소아토유, 식해어체, 오림, 완화, 유선염, 유즙 결핍, 음수체, 이뇨, 이수통림, 이질, 임질, 주황병, 청열해독, 최유, 통리수도, 폐렴, 피부윤택, 해산촉진, 해수, 해열, 황달",(내복): 탕전(湯煎)하거나 산제로 복용한다.
272,피자식물/쌍자엽식물,벽오동,벽오동과(Sterculiaceae),Firmiana simplex (L.) W.F.Wight,식재하는 낙엽교목으로 높이가 15m에 달하고 원줄기는 평활하며 녹색이다. 잎은 호생하지만 가지 끝에서는 총생하며 열 편은 넓은 난형이고 점 첨두 심장 저이며 양면에 털이 없으며 가장자리가 밋밋하다. 꽃은 단성으로 6∼7월 가지 끝에 원추화서로 달린다. 열매는 5개의 분과로 되어 익기 전에 떨어진다. ☞ 길뚝아욱에 비해 줄기가 청색의 목본이고 꽃잎이 없다.,"한국(전국), 중국",오동자(梧桐子),가을 종자 성숙기에 채취하여 말린다.,"감기, 거풍제습, 건 위, 고혈압, 골절, 과식, 구내염, 기력증진, 기부족, 백발, 사지 마비, 설사, 순기, 원형탈모증, 장 출혈, 졸도, 종기, 지혈, 청열해독, 타박상, 해수, 현훈, 화위",(내복): 탕전(湯煎)하거나 환제 또는 산제로 복용한다.
273,피자식물/쌍자엽식물,다래,다래나무과(Actinidiaceae),Actinidia arguta (Siebold & Zucc.) Planch. ex Miq.,산골짜기에 자라는 낙엽 덩굴식물로 길이가 7m에 달하며 골속은 갈색이고 계단 모양이다. 잎은 호생하며 난형 또는 타원형으로 급한 점 첨두 원저 또는 심장 저이며 가장자리에 침 같은 톱니가 있다. 꽃은 백색으로 5월에 잎겨드랑이에 취산화서로 달린다. 열매는 장과로서 난상 원형이다. ☞ 섬다래에 비해 꽃받침 가장자리에 털이 있다.,"한국(전국), 중국, 러시아",미후리(ㅁㅁ梨,가지와 잎을 여름에 채취하여 햇볕에 말린다.,"간경변증, 간염, 강장, 강장 보호, 건 위, 관절통, 구토, 기관지염, 대장암, 소아 변비증, 소화불량, 식욕부진, 자궁경부암, 장위카타르, 장 출혈, 제습, 종독, 중풍, 지갈, 진통, 태아 양육, 통리수도, 통림, 풍습, 풍질, 해독, 해수, 해열, 허 냉, 황달",(내복): 탕전(湯煎)하거나 환제로 복용한다.
274,피자식물/쌍자엽식물,동백나무,차나무과(Theaceae),Camellia japonica L.,바닷가에 자라는 상록소교목으로 높이가 7m에 달하며 기부에서 갈라져 관목 상으로 되고 수피는 평활하다. 잎은 호생하고 타원형이고 점 첨두 넓은 예저이며 물결형의 잔 톱니가 있다. 꽃은 적색이고 2∼4월에 가지 끝이나 잎겨드랑이에 1개씩 달린다. 열매는 삭과로 둥글고 3실이며 종자는 짙은 갈색이다. ☞ 애기동백에 비해 잎의 크고 꽃잎은 서로 붙어 반쯤 벌어진다.,"한국(중남부), 중국, 일본",산다화(山茶花),꽃을 개화 직전에 채취하여 햇볕에 말린다.,"건선, 경혈, 산 어소 종, 양 혈지 혈, 어혈, 연골증, 월경이상, 이뇨, 인후 통증, 자궁출혈, 장 출혈, 종독, 지혈, 타박상, 토혈 각혈, 통리수도, 화상, 활혈",(내복): 탕전(湯煎)하거나 가루 내어 복용한다. (외용): 가루를 낸 후 마유(麻油)에 개어 상처 부위에 바른다.
275,피자식물/쌍자엽식물,사스레피나무,차나무과(Theaceae),Eurya japonica Thunb.,바닷가 산기슭에 자라는 상록관목으로 높이 1∼3m이고 어린 가지에 털이 없다. 잎은 호생하며 타원형 또는 넓은 피침형이다. 예두 또는 둔두이고 예저이며 위로 향한 둔한 톱니가 있다. 꽃은 황록색으로 4월에 잎겨드랑이에 1∼2개씩 달린다. 열매는 장과로 10월에 흑자색으로 익는다. ☞ 우묵사스레피나무에 비해 잎이 도란상 장타원형이고 둔한 톱니가 있다.,"한국(전국), 중국, 일본, 대만, 인도, 말레이시아.",영목(ㅁ木),잎·줄기·열매를 채취하여 말린다.,"거풍, 이뇨, 소종, 제습, 지혈.",(내복): 탕전(湯煎)하여 복용한다. (이용): 짓찧어 상처 부위에 바른다.
276,피자식물/쌍자엽식물,노각나무,차나무과(Theaceae),Stewartia pseudocamellia Maxim.,산 중턱에 자라는 낙엽교목으로 높이 7∼15m이고 잔가지에 털이 없다. 잎은 호생하고 타원형이고 예두이며 원저 또는 넓은 예저이고 뒷면에 잔털이 있고 가장자리에 세치상 톱니가 있다. 꽃은 백색으로 5∼6월에 새 가지의 잎겨드랑이에 달린다. 열매는 남아있는 암술대가 있으며 10월에 익는다. ☞ 동백나무에 비해 낙엽이고 꽃은 백색이며 종자에 날개가 있다.,"한국(전국), 일본",,뿌리와 줄기 껍질을 가을부터 겨울에 채취하여 말린다.,"곽란, 이뇨, 통재.",(내복): 탕전(湯煎)하여 복용한다.
277,피자식물/쌍자엽식물,차나무,차나무과(Theaceae),Camellia sinensis L.,식재하는 상록관목으로 높이 1∼2m이며 가지가 많이 갈라지고 1년 지는 갈색이다. 잎은 호생하고 장타원형이며 둔 두 예저이고 약간 내 곡하는 잔 톱니가 있다. 꽃은 백색으로 10∼11월에 1∼3개씩 핀다. 열매는 삭과로 편구형이며 둔한 능 각이 있고 다음 해에 다갈색으로 익는다. ☞ 동백나무에 비해 관목이고 꽃받침조각이 숙존한다.,"한국(남부), 중국, 일본",다엽(茶葉),어린잎을 3월 중·하순부터 채취하여 음건(陰乾)한다.,"간염, 감비, 강심, 강심제, 결막염, 고혈압, 구내염, 권태증, 급성간염, 기관지염, 만성피로, 부종, 소식, 수종, 암내, 양혈, 위장염, 이뇨, 일체 안 병, 제번열, 지방간, 천식, 치핵, 폐기천식, 피부 청결, 해독, 해수, 현훈, 화담, 흉협통, 흥분제",(내복): 탕전(湯煎)하거나 산제 또는 환제로 복용한다.
278,피자식물/쌍자엽식물,물레나물,물레나물과(Guttiferae),Hypericum ascyron L.,산야의 양지에 자라는 다년초로 높이 15∼50㎝이고 능선이 있다. 잎은 대생하고 난형으로 끝이 둔하고 밑부분이 줄기의 반을 감싸고 있다. 꽃은 황색으로 6∼8월에 가지 끝에 1개씩 달린다. 열매는 삭과로 난형이며 종자에 작은 그물맥이 있고 한쪽에 능선이 있다. ☞ 고추나물류에 비해 식물체가 크고 꽃이 크며 5수 성화이다.,"한국(전국), 중국, 일본, 러시아, 중앙아시아",홍한련(紅旱蓮),전초를 8∼9월 과실 성숙기에 채취하여 햇볕에 말린다.,"간염, 결핵, 구충, 근골동통, 부스럼, 소종, 연주창, 외상, 월경이상, 임파선염, 종독, 지혈, 타박상, 토혈 각혈, 평간, 해독, 해열, 활혈",(내복): 탕전(湯煎)하거나 술에 담가서 복용한다.
304,피자식물/쌍자엽식물,왜당귀,산형과(Umbelliferae),Angelica acutiloba (Siebold & Zucc.) Kitag.,일본 원산으로 재배되고 있는 다년초로 높이 60∼90㎝이고 원줄기는 자주색이고 털이 없다. 뿌리에서 돋은 잎은 잎자루가 길며 3각형이고 3개씩 1∼3회 갈라지며 소엽의 가장자리에 예리한 톱니가 있다. 꽃은 백색으로 8∼9월에 복산형화서로 달린다. 열매는 분과로 편평한 장타원형이고 뒷면에 가는 능선이 있다. ☞ 잎은 1-3회 삼출엽이며 꽃받침 열 편이 이형(異形)이다.,"한국(전국), 일본",당귀(當歸),뿌리를 가을에 채취하여 햇볕에 말린다.,"간질, 감기, 강장 보호, 거풍, 건비, 건 위, 기부족, 변비, 보혈, 부인병, 신허, 오줌소태, 요슬산통, 월경이상, 정혈, 조경, 진정, 진통, 치통, 통경, 해수, 허리디스크, 허약체질, 화혈, 활혈","(내복): 탕전(湯煎)하거나, 환제 또는 산제로 복용한다."
246,피자식물/쌍자엽식물,화살나무,노박덩굴과(Celastraceae),Euonymus alatus (Thunb.) Siebold,산기슭에 자라는 낙엽관목으로 높이가 3m에 달하고 잔가지에 2∼4개의 날개가 달려있다. 잎은 대생하고 첨두 예저이며 뒷면에 털이 없고 가장자리에 예리한 톱니가 있다. 꽃은 황록색으로 5월에 잎겨드랑이에 취산화서로 달린다. 열매는 삭과로 10월에 적색으로 익는다. 종자는 황적색 종의로 싸여있다. ☞ 가는 가지는 녹색으로 털이 없으나 뒤에 4개의 날개가 발달한다.,"한국(전국), 중국, 일본",귀전우(鬼箭羽),줄기(날개 같은 코르크층)를 연중 채취하여 사용한다.,"구충, 대장암, 복진 통, 산후어혈, 살충, 신장암, 암, 요 슬 통, 월경이상, 유방암, 자궁출혈, 제습, 촌충, 통경, 통유, 파혈통경, 풍습",(내복): 탕전(湯煎)하거나 환제 또는 산제로 복용한다.
247,피자식물/쌍자엽식물,참빗살나무,노박덩굴과(Celastraceae),Euonymus hamiltonianus Wall.,산비탈 냇가 근처에 자라는 낙엽소교목으로 높이가 8m에 달하고 수피가 평활하다. 잎은 대생하고 피 침상 장타원형이며 첨두 원저이고 양면에 털이 없으며 둔한 잔 톱니가 있다. 꽃은 녹 백색으로 5∼6월 묵은 가지에 취산화서로 달린다. 열매는 삭과로 10월에 적색으로 익으며 4개로 갈라진다. ☞ 좀빛살나무에 비해 꽃밥은 황색이고 꼭은 녹 백색이다.,"한국(전국), 중국, 일본, 러시아",사면목(絲綿木),"가지와 잎은 수시로 채취하며, 과실은 성숙기에 채취하여 햇볕에 말린다.","거풍습, 경혈, 관절염, 구충, 뇌암, 암, 요독증, 요 슬 산통, 요통, 월경이상, 유즙 결핍, 자궁출혈, 제습, 진통, 췌장암, 통경, 허리디스크, 혈전증, 활 혈맥, 후두암",(내복): 탕전(湯煎)하여 복용한다.
248,피자식물/쌍자엽식물,사철나무,노박덩굴과(Celastraceae),Euonymus japonicus Thunb.,바닷가 산기슭에 자라는 상록관목으로 높이가 3m에 달하며 잔가지는 녹색이고 털이 없다. 잎은 대생하며 예두 또는 둔두이고 예저이며 가장자리에 둔한 톱니가 있다. 꽃은 황록색으로 6∼7월 취산화서로 달린다. 열매는 둥글고 적색으로 익으며 종자는 황적색 종의로 싸여있다. ☞ 줄사철나무에 비해 줄기는 곧추서고 기근이 없다.,"한국(중남부), 중국, 일본",조경초(調經草),수피와 뿌리를 수시로 채취하여 햇볕에 말린다.,"강장, 강장 보호, 견비통, 관절염, 관절통, 오십견, 요통, 월경이상, 이완출혈, 자궁출혈, 자한, 진정, 진통, 치열, 통경, 활혈",(내복): 탕전(湯煎)하여 복용한다.
249,피자식물/쌍자엽식물,미역줄나무,노박덩굴과(Celastraceae),Tripterygium regelii Sprague & Takeda,깊은 산에 자라는 낙엽 덩굴식물로 길이가 2m에 달하며 가지는 적갈색이며 옴 같은 돌기가 있다. 잎은 호생하며 난형 또는 타원형으로 점 첨두 또는 첨두이고 가장자리에 둔한 톱니가 있다. 꽃은 백색으로 6∼7월에 가지 끝이나 잎겨드랑이에 원추화서로 달린다. 열매는 시과로 9∼10월에 익는다. ☞ 노박덩굴 속에 비해 시과이고 종자는 종의가 없다.,"한국(황해도를 제외한 전국), 중국, 일본",뇌공등(雷公藤),경엽을 여름부터 가을에 채취하여 햇볕에 말린다.,"거풍제습, 관절염, 서근활혈, 자궁출혈, 진통, 타박상, 통경",(내복): 탕전(湯煎)하거나 산제로 복용한다. (외용): 짓찧어 상처 부위에 붙인다.
250,피자식물/쌍자엽식물,말오줌때,고추나무과(Staphyleaceae),Euscaphis japonica (Thunb.) Kanitz,산기슭 물가에 자라는 낙엽관목으로 높이가 3m에 달하며 가지는 털이 없고 녹갈색이다. 잎은 대생하고 홀수 1회 우상복엽으로서 점 첨두 예저 또는 원저이며 예리한 톱니가 있다. 꽃은 황록색으로 5월에 가지 끝에 원추화서로 달린다. 열매는 골 돌로 꼬부라진 타원형이며 종자는 검고 윤채가 난다. ☞ 고추나무에 비해 우상복엽으로 측소엽은 잎자루가 있다.,"한국(중남부), 중국, 일본, 대만",야아춘자(野鴉椿子),과실 성숙기에 채취하여 햇볕에 말린다.,"각기, 건 비위, 감기, 경련, 골절증, 관절염, 나창, 자궁하수, 자한, 정혈, 제습, 지혈, 진통, 타박상, 탄산 토산, 탈항, 통리수도, 통풍, 풍, 풍한, 활혈",(내복): 탕전(湯煎)하거나 환제로 복용한다.
251,피자식물/쌍자엽식물,고추나무,고추나무과(Staphyleaceae),Staphylea bumalda DC.,산골짜기에 자라는 낙엽관목으로 높이 3∼5m이고 가지는 둥글며 희녹색이다. 잎은 대생하며 소엽은 3개이며 측소엽은 소엽병이 없으며 정소엽은 난형 또는 난상 타원형이며 가장자리에 잔 톱니가 있다. 꽃은 백색으로 5∼6월에 가지 끝에 취산화서로 달린다. 열매는 삭과로 반원형이며 9∼10월에 익는다. ☞ 말오줌때에 비해 잎은 3출복엽이고 측소엽은 잎자루가 없다.,"한국(전국), 중국, 일본",작고유(雀沽油),뿌리·열매를 채취하여 햇볕에 말린다.,"건해, 산후어혈.",(내복): 탕전(湯煎)하여 복용한다.
252,피자식물/쌍자엽식물,신나무,단풍나무과(Aceraceae),Acer tataricum subsp. ginnala (Maxim.) Wesm.,산골짜기나 들의 습한 곳에 자라는 낙엽소교목으로 높이가 8m에 달하고 털이 없다. 잎은 대생하고 난상 타원형이며 끝이 꼬리처럼 뾰족하며 원저 또는 아심장저이고 표면에 윤채가 있으며 톱니가 있다. 꽃은 황백색으로 9월에 가지 끝에 복산 방화서로 달린다. 열매는 시과로 반원형이며 9월에 익는다. ☞ 중국단풍에 비해 잎의 하반부가 3개로 얕게 갈라지고 결 각상 톱니가 있다.,"한국(전국), 중국, 일본, 러시아, 몽고",차조아(茶條芽),잎과 새싹을 채취하여 햇볕에 말린다.,"간열목적, 감모두통, 명목, 안질, 청혈.",(내복): 탕전(湯煎)하여 복용한다.
253,피자식물/쌍자엽식물,고로쇠나무,단풍나무과(Aceraceae),Acer pictum subsp. mono (Maxim.) Ohashi,산에 자라는 낙엽교목으로 높이가 20m에 달하며 잔가지는 털이 없다. 잎은 대생하고 둥글며 열 편은 점 첨 두이며 아심장저 또는 원저이고 뒷면 맥액에 털이 있으며 가장자리에 톱니가 없다. 꽃은 연한 황록색으로 5월에 산방화서로 달린다. 열매는 삭과이며 10월에 익는다. ☞ 만주고로쇠에 비해 잎이 5∼7개로 갈라지고 열 편은 갈라지지 않는다.,"한국(전국), 중국, 일본, 러시아",지금축(地錦ㅁ),줄기 껍질을 채취하여 말린다.,"거풍제습, 골절상, 당뇨, 사지 마비, 소화불량, 식감 저체, 위장염, 음수체, 음수체, 타박상, 하리, 활혈거어",(내복): 탕전(湯煎)하여 복용한다. (외용): 짓찧어 상처 부위에 붙인다.
